,speaker_bureau_events_daily,,
File Name,Attribute Name,Data Type,Description
LMHC_EVENT_<Timestamp>.csv,event_vendor_id,string,Unique ID assigned to the event by the vendor system.
,attribute_identifier,string,Identifies the element/component of the event the attribute belongs to.
,bureau_id,string,"ID of the Bureau the event belongs to.
SBS provides the Vendors with the bureau names and IDs for all the bureaus they will be providing logistics services for."
,bureau_name,string,"Name of the Bureau the event belongs to.
SBS provides the Vendors with the bureau names and IDs for all the bureaus they will be providing logistics services for."
,is_child_event,string,"This identifies if the event is a child event or not. 
Child (also known as Spoke) event is a smaller event that takes place in conjunction with another program which is the primary event (usually know as Parent/Hub) and where the speaker is."
,parent_event_vendor_id,string,"ID of the parent event, if the event is a child."
,event_start_date,date,Date the event is scheduled to take place.
,event_arrival_time,string,Time when the customers are expected to arrive at the event. This is not the same as the Event Start Time and is usually earlier.
,event_start_time,string,Time when program is scheduled to start.
,time_zone,string,Time zone local to the event.
,event_end_date,date,Date the event is scheduled to end.
,event_status,string,"Defines the status of the event. Possible statuses for an event: 

- Pending: Event has been requested in the vendor system and all key attributes (date and time, speaker and venue) may not be confirmed yet.

- Confirmed: All key attributes of the event have been arranged and confirmed.

- Occurred: The event has been confirmed by the accountable/host to have taken place.

- Closed: The event took place and all known financial reconciliations for the event has been completed by the vendor.

- Dropped: The event that is no longer taking place, and there is NO spend associated with the event.

- Canceled: The event that is no longer taking place, but there is spend associated with it.

- Canceled Closed: The event that is no longer taking place, there is spend associated with it and all known financial reconciliations for the event has been completed by the vendor.

- On Hold: An event where vendor work has been paused by the requestor."
,event_status_date_time,string,Date the event status was applied.
,times_rescheduled,string,Number of times the event has been rescheduled.
,event_type,string,"Defines the type of event being executed. Possible event types: 

- Program: Standard speaker program event where HCPs, practice managers, patients, and other experts educate their peers about Genentech products, disease state information, and managed care topics.

- Product Theater: Speaker programs held in conjunction with and on the same premises of conventions/congresses. 

- GPO: Speaker programs where a Group Purchasing Organization (GPO) is involved in the placing of the program and in the recruitment of attendees.

- National Broadcast: An event planned by Marketing, most often (but not exclusively) for a new product or indication launch, where advertising, recruitment, and attendance is nationwide. 

- Training: - Events for training contracted speakers (HCPs, practice managers and patient ambassadors) on content and compliance before they can present at events.
"
,event_sub_type,string,"Defines whether the event is directed to HCPs or to patients/caregivers. Possible event sub types:

- HCP: Event directed at HCPs. 

- Patient: Event directed at patients, caregivers, and/or direct family members of Patients. 

- Training: Events for training contracted speakers (HCPs, practice managers and patient ambassadors) on content and compliance before they can present at events."
,event_format,string,"Defines how the program content is delivered to the attendees. Possible event formats: 

- In-Person: A program where everybody is physically present in one location.

- Hybrid: A program where some people are physically present in one location and some are attending virtually.

- Virtual: A program where everybody is participating virtually.

- Abbreviated Hybrid: A program with abbreviated content where some people are physically present in an in-office location and some are attending virtually. Abbreviated programs in an out-of-office location is only permitted for Product Theaters.

- Abbreviated Virtual: A program with abbreviated content where everybody is participating virtually.

- Child: A physical site that is an add-on to a program where some people are physically present, and some are participating virtually.

- Broadcast to Multi-site: A program broadcasted to multiple locations (Child sites) where some people may be physically present, and some may be participating virtually.

- Abbreviated Multi-site: Program with abbreviated content broadcasted to multiple in-office locations where some people may be physically present, and some may be participating virtually.

- In-Person Multi-site: A program broadcasted from one physical location to other physical locations via closed circuit and there is no virtual participation. For example, a program being broadcast among a chain of restaurants or hospitals.
"
,meal_type,string,"Defines the type of meal provided at the event.
Possible meal types:
- Breakfast
- Lunch
- Dinner
- Light Refreshment
- No Meal Provided"
,conference,string,Name of the convention/congress/conference in conjuction of which the Product Theater is held.
,gpo,string,Name of the Group Purchasing Organization (GPO) involved in the placing of the event and its recruitment.
,co_promote,string,Name of the company co-promoting the product with Genentech.
,event_ecosystem,string,Ecosystem to which the event belongs to.
,event_total_cost,string,"The total cost of the event.

"
,planned_customers,int,Number of customers the program host/accountable expects to attend the event.
,total_attendees,int,"Total number of all attendees (regardless of participation role) that attended the event. This includes HCPs, patients (where applicable), speakers, employees, partners, vendors."
,speakers_attended,int,Total number of speakers that presented at the event.
,employees_and_partners_attended,int,Total number of Genentech employees and Partners that attended the event.
,vendors_attended,int,Total number of vendor employees that attended the event.
,customers_attended,int,Total number of HCP customers that attended the event.
,patients_attended,int,"Total number of patients, caregivers and their guests that attended the event."
,customers_rsvp,int,"Total number of customers that confirmed their attendance for the event, i.e. customer with RSVP = Yes(In-Person/Virtual)."
,patients_rsvp,int,"Total number of patients, caregivers and their guests confirmed registrations (RSVP status = Yes) to attend the event."
,customers_invited_email,int,Total number of HCP customers that were emailed the event invitation via the vendor system.
,patients_invited_email,int,Total number of patients/caregivers that were emailed the event invitation via the vendor system.
,event_created_by,string,Name of the person who created the event in the vendor system.
,event_created_date_time,string,Date and time the event was created in the vendor system.
,event_last_updated_by,string,"Name of the user who last updated the event in the vendor system.
"
